date, pm25, pm10, o3, no2, so2, co
2022-07-06,64,32,45,10,5,4
2022-07-07,60,28,50,10,6,3
2022-07-08,55,27,58,12,9,7
2022-07-09,59,22,31,12,9,6
2022-07-10,55,25,40,10,6,3
2022-07-11,53,27,37,12,10,6
2022-07-12,41,29,23,11,6,4
2022-07-13,47,33,33,10,9,5
2022-07-14,58,35,82,14,5,6
2022-07-15,65,39,92,9,7,4
2022-07-16,81,27,44,5,5,3
2022-07-17,47,32,38,12,6,4
2022-07-18,59,38,47,13,11,7
2022-07-19,64,41,92,11,8,4
2022-07-20,71,38,54,16,8,3
2022-07-21,59,24,44,12,6,3
2022-07-22,48,24,27,9,9,3
2022-07-23,45,35,55,7,9,2
2022-07-24,76,31,35,11,10,2
2022-07-25,28,38,39,10,9,4
2022-07-26,64,26,30,8,6,2
2022-07-27,40,34,32,13,6,4
2022-07-28,59,28,30,10,6,3
2022-07-29,60,30,30,13,9,7
2022-07-30,64,20,21,8,7,3
2022-07-31,44,27,20,7,6,4
2022-08-01,49,16,20,4,3,2
2022-08-02,28,22,38,7,6,3
2022-08-03,37,14,45,7,4,2
2022-08-04,33,13,31,7,4,3
2022-08-05,31,26,66,8,4,3
2022-08-06,62,31,63,6,3,4
2022-08-07,72,28,32,8,4,2
2022-08-08,57,21,29,7,4,2
2022-08-09,48,16,21,6,4,2
2022-08-10,38,16,17,9,3,2
2022-08-11,39,22,60,8,5,3
2022-08-12,43,23,62,8,3,4
2022-08-13,46,33,56,8,4,3
2022-08-14,63,27,29,7,4,2
2022-08-15,59,17,33,10,3,2
2022-08-16,41,27,48,11,4,4
2022-08-17,54,25,36,10,7,5
2022-08-18,43,33,48,11,4,3
2022-08-19,74,24,34,14,6,8
2022-08-20,59,24,33,11,7,3
2022-08-21,62,25,55,11,5,4
2022-08-22,61,31,39,15,4,3
2022-08-23,64,24,30,12,7,3
2022-08-24,45,18,42,8,3,3
2022-08-25,68,26,44,9,5,3
2022-08-26,76,34,42,8,3,3
2022-08-27,88,23,31,7,3,2
2022-08-28,67,32,26,14,4,5
2022-08-29,60,29,24,18,4,4
2022-08-30,54,16,24,14,6,4
2022-08-31,35,25,25,9,5,4
2022-09-01,25,24,30,10,7,5
2022-09-02,32,24,23,10,5,4
2022-09-03,33,26,22,8,6,3
2022-09-04,39,34,28,6,4,6
2022-09-05,43,23,44,6,3,4
2022-09-06,36,46,48,10,2,3
2022-09-07,68,47,43,11,2,3
2022-09-08,73,30,42,5,2,3
2022-09-09,60,32,38,5,4,4
2022-09-10,67,26,35,10,4,8
2022-09-11,66,18,25,8,3,2
2022-09-12,57,26,32,10,2,3
2022-09-13,62,37,37,15,3,5
2022-09-14,68,53,35,5,2,3
2022-09-15,64,45,26,13,3,4
2022-09-16,62,45,33,15,4,6
2022-09-17,79,42,36,19,10,11
2022-09-18,71,39,31,17,7,10
2022-09-19,71,44,32,8,1,5
2022-09-20,64,35,30,9,2,5
2022-09-21,55,36,32,14,3,4
2022-09-22,50,32,49,10,2,3
2022-09-23,61,28,34,6,3,2
2022-09-24,51,31,34,11,3,4
2022-09-25,61,35,23,18,2,6
2022-09-26,70,33,36,16,2,5
2022-09-27,59,32,28,13,3,4
2022-09-28,60,39,59,15,4,3
2022-09-29,75,55,75,20,4,4
2022-09-30,106,43,55,13,3,5
2022-04-01,37,38,53,12,4,4
2022-04-02,63,37,58,12,5,5
2022-04-03,73,46,59,15,5,4
2022-04-04,72,46,62,14,3,5
2022-04-05,84,46,70,12,4,4
2022-04-06,77,54,51,12,2,4
2022-04-07,88,58,41,16,7,6
2022-04-08,74,49,74,12,4,5
2022-04-09,69,37,57,9,5,4
2022-04-10,63,39,44,13,3,3
2022-04-11,66,38,58,11,4,4
2022-04-12,63,40,41,23,11,11
2022-04-13,60,39,39,30,10,10
2022-04-14,59,40,39,19,6,7
2022-04-15,52,37,39,13,8,6
2022-04-16,55,44,52,9,4,5
2022-04-17,57,56,58,16,4,4
2022-04-18,69,56,58,18,4,4
2022-04-19,81,52,69,17,3,4
2022-04-20,69,47,52,20,2,3
2022-04-21,74,49,55,15,5,4
2022-04-22,67,53,43,14,3,4
2022-04-23,79,50,49,11,4,3
2022-04-24,81,61,61,22,5,5
2022-04-25,90,40,37,22,4,5
2022-04-26,75,78,46,16,7,6
2022-04-27,70,53,45,13,4,4
2022-04-28,59,30,45,21,5,9
